date,total_nodes,total_assets,promoted_assets,total_calls,total_reuses
2026-07-14,276766,4350113,1749723,56169835,20744971
2026-07-15,278949,4358995,1745451,56173985,20745231
2026-07-16,280484,4368049,1731060,56178026,20745497
2026-07-17,281007,4376961,1730646,56181025,20745642
2026-07-18,285154,4387161,1730808,56184777,20746004
2026-07-19,285576,4395037,1721040,56188130,20746343
2026-07-20,290670,4405615,1707954,56197525,20748610
2026-07-21,291031,4416918,1699253,56204127,20750117
2026-07-22,291456,4426658,1697578,56209444,20750814
2026-07-23,292733,4436651,1679249,56215145,20751841
2026-07-24,293155,4446770,1666405,56219650,20752355
2026-07-25,293527,4454729,1656772,56228518,20753517
2026-07-26,294455,4464735,1657042,56235649,20754064
2026-07-27,300240,4476177,1649905,56243199,20754613
2026-07-28,303052,4487875,1639980,56248869,20755011
2026-07-29,305171,4496667,1636291,56251927,20755352
2026-07-30,311116,4515989,1636697,56265655,20757223
2026-07-31,316677,4530917,1638670,56274748,20757690
2026-08-01,317011,4541689,1640877,56281679,20757975
2026-08-02,319318,4551651,1642236,56287658,20758141
2026-08-03,322288,4563233,1642503,56295338,20758633
2026-08-04,325353,4574119,1643951,56304275,20759325
2026-08-05,329368,4582321,1634937,56310240,20759760
2026-08-06,329749,4591741,1631823,56317969,20760198
2026-08-07,330096,4599337,1628436,56324221,20760379
2026-08-08,333473,4609959,1618177,56330086,20760849
2026-08-09,334926,4617905,1613004,56335952,20761177
